Ret	actor_loss	critic_loss	entropy	gae_mean	gae_std	iteration	ret_test_env_2	ret_test_env_3	ret_test_env_4	return_mean	return_std
1.7731134432783608	-0.013868518764793407	510.6197875976562	1.5982628083229065	1.0947001422057754	21.10683572626677	0	10.0	10.0	10.0	0.8656369267247462	22.519813679312126
5.04847576211894	-0.013533181830571266	429.8852197265625	1.5945384693145752	1.7962819197346773	19.584886019283307	1	10.0	10.0	10.0	2.860538983335584	21.25272678078909
6.269865067466267	-0.0017753174359677359	395.44250244140625	1.5829499769210815	1.0912284541454287	19.026293591679483	2	10.0	10.0	10.0	3.7050418882201424	21.103157543458188
9.417291354322838	-0.003298874497122597	406.19539733886717	1.5649115943908691	3.1436490524113263	18.89317467543656	3	10.0	10.0	10.0	5.747171772016738	21.347938533418745
10.24687656171914	0.0024859327357262375	427.4571710205078	1.542018747329712	2.595973615586653	19.394709870807226	4	10.0	10.0	10.0	6.12014311017609	22.177368011311042
13.06046976511744	0.0009130637522321195	451.8672265625	1.5263338708877563	4.031762526457319	19.91105906501102	5	10.0	10.0	10.0	7.885439253117517	23.126548430208175
13.952523738130935	0.0007000021956628189	452.5259216308594	1.513213770389557	3.4388947963308323	20.150027909370763	6	10.0	10.0	10.0	8.373809349609	23.556632923545752
13.615692153923039	-0.008995662550441921	436.39727600097655	1.496637282371521	3.3486875575605857	19.730426279548404	7	10.0	10.0	10.0	8.337759740211252	23.246778344640244
16.200899550224886	0.0007225728966295719	473.02526916503905	1.4774901127815248	4.167257255742392	20.286786632549166	8	100.0	-50.0	0.0	9.77357341796785	24.21246754841219
16.54822588705647	-0.006492751465411856	470.2842712402344	1.4545388770103456	3.464647494853167	20.557789378400734	9	100.0	-50.0	0.0	9.962770156742117	24.61673697679443
17.364317841079462	-0.002115745923947543	500.24326782226564	1.4260094523429871	3.874177404632653	21.274847784844116	10	100.0	-50.0	0.0	10.5054727752007	25.847585112731252
18.52423788105947	-0.0014063298190012574	492.35848510742187	1.401479299068451	3.3785076265888296	21.107003507776376	11	100.0	-50.0	0.0	11.078861022193436	25.98920093218711
